epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,137.651,1.14647,1.58979,0.98238,0.98888,1,0.995,0.53243,1.4871,1.36495,1.7259,0.0005975,0.0005975,0.0005975
87,139.082,1.1317,1.55282,1.0219,0.98902,1,0.995,0.56735,1.4901,1.23968,1.69459,0.000581,0.000581,0.000581
88,140.541,1.13273,1.73636,1.07328,0.98902,1,0.995,0.56735,1.4901,1.23968,1.69459,0.0005645,0.0005645,0.0005645
89,142.051,1.01605,1.53607,0.99942,0.98832,1,0.995,0.53944,1.47306,1.19409,1.69778,0.000548,0.000548,0.000548
90,143.422,0.9753,1.46082,0.96035,0.98832,1,0.995,0.53944,1.47306,1.19409,1.69778,0.0005315,0.0005315,0.0005315
91,144.887,1.14883,1.40167,1.00267,0.98648,1,0.995,0.50107,1.43935,1.18474,1.65507,0.000515,0.000515,0.000515
92,146.262,1.06281,1.36888,0.97913,0.98648,1,0.995,0.50107,1.43935,1.18474,1.65507,0.0004985,0.0004985,0.0004985
93,147.745,1.02004,1.33343,0.98342,0.98683,1,0.995,0.54864,1.41026,1.20042,1.6819,0.000482,0.000482,0.000482
94,149.14,1.02247,1.49741,0.95719,0.98683,1,0.995,0.54864,1.41026,1.20042,1.6819,0.0004655,0.0004655,0.0004655
95,150.544,0.9823,1.36125,0.99618,0.98814,1,0.995,0.56734,1.38151,1.21624,1.73538,0.000449,0.000449,0.000449
96,151.963,1.1286,1.32859,0.97206,0.98814,1,0.995,0.56734,1.38151,1.21624,1.73538,0.0004325,0.0004325,0.0004325
97,153.355,1.20816,1.58261,1.03428,0.98977,1,0.995,0.58554,1.3718,1.17656,1.71985,0.000416,0.000416,0.000416
98,154.752,1.13477,1.61247,0.99179,0.98977,1,0.995,0.58554,1.3718,1.17656,1.71985,0.0003995,0.0003995,0.0003995
99,156.175,1.12584,1.57343,1.01932,0.99051,1,0.995,0.62381,1.31903,1.22682,1.70803,0.000383,0.000383,0.000383
100,157.709,0.97704,1.48498,0.94409,0.99051,1,0.995,0.62381,1.31903,1.22682,1.70803,0.0003665,0.0003665,0.0003665
101,159.105,0.97558,1.50578,0.97038,0.99047,1,0.995,0.58021,1.33918,1.21557,1.67429,0.00035,0.00035,0.00035
102,160.52,1.0444,1.32618,0.98231,0.99047,1,0.995,0.58021,1.33918,1.21557,1.67429,0.0003335,0.0003335,0.0003335
103,161.998,1.13984,1.33118,0.98752,0.8255,0.83333,0.80295,0.56538,1.36801,1.22904,1.67042,0.000317,0.000317,0.000317
104,163.516,1.06609,1.3182,0.9283,0.8255,0.83333,0.80295,0.56538,1.36801,1.22904,1.67042,0.0003005,0.0003005,0.0003005
